1,Mona Lisa,Mona Lisa,empty,047c724f-61f2-49e1-b238-3b7c9f2a92c8,e2ebf1f4-a3dd-4cc9-bb83-a6bfcf1fcc70
2,The Last Supper,The Last Supper,empty,047c724f-61f2-49e1-b238-3b7c9f2a92c8,720fb23e-597d-45eb-b2d6-d04772e779f6
3,Vitruvian Man,Vitruvian Man,empty,047c724f-61f2-49e1-b238-3b7c9f2a92c8,cf0d3efa-9e3e-48a2-974f-cdac2880165f
4,Lady with an Ermine,Lady with an Ermine,empty,047c724f-61f2-49e1-b238-3b7c9f2a92c8,3a1111d7-19cc-43de-91d2-088dba5c296d
5,The Starry Night,The Starry Night,empty,55239815-41d4-4f5f-bece-8dfab3bb5d3e,f5a220e8-1abc-4f44-99fe-87684bd3b777
6,Van Gogh self-portrait,Van Gogh self-portrait,empty,55239815-41d4-4f5f-bece-8dfab3bb5d3e,10835594-ad73-41a2-b855-81d80b767ce0
7,Café Terrace at Night,Café Terrace at Night,empty,55239815-41d4-4f5f-bece-8dfab3bb5d3e,2f04b8fb-4d2d-4948-95a6-740e232c44e8
8,The Potato Eaters,The Potato Eaters,empty,55239815-41d4-4f5f-bece-8dfab3bb5d3e,89f248ba-1da0-4fd3-928d-3b82491f1ce0
9,"Impression, Sunrise","Impression, Sunrise",empty,dfbd9370-f786-4a1e-aa52-abdc1b9aa2fb,2bc5b133-d285-4214-bbb2-bdec436c7c61
10,Poppies,Poppies,empty,dfbd9370-f786-4a1e-aa52-abdc1b9aa2fb,10835594-ad73-41a2-b855-81d80b767ce0
11,The Artist's Garden at Giverny,The Artist's Garden at Giverny,empty,dfbd9370-f786-4a1e-aa52-abdc1b9aa2fb,10835594-ad73-41a2-b855-81d80b767ce0
12,Woman with a Parasol - Madame Monet and Her Son,Woman with a Parasol - Madame Monet and Her Son,empty,dfbd9370-f786-4a1e-aa52-abdc1b9aa2fb,d9dc4304-490e-401c-9205-b281303a3201
13,The Night Watch,The Night Watch,empty,bb84b337-d307-42aa-8a21-6ab37bddeeb7,65c323f8-82b8-41b6-8e85-89b38b92f1fa
14,The Return of the Prodigal Son,The Return of the Prodigal Son,empty,bb84b337-d307-42aa-8a21-6ab37bddeeb7,168b6895-252f-479f-9cac-13bddb386e19
15,The Jewish Bride,The Jewish Bride,empty,bb84b337-d307-42aa-8a21-6ab37bddeeb7,65c323f8-82b8-41b6-8e85-89b38b92f1fa
16,Danaë,Danaë,empty,bb84b337-d307-42aa-8a21-6ab37bddeeb7,168b6895-252f-479f-9cac-13bddb386e19
17,The Creation of Adam,The Creation of Adam,empty,0e0f11ee-23a3-4170-846c-2fae5504a306,c7fd2d5c-8cd0-4d5e-8f03-4b3d6efc5385
18,Guernica,Guernica,empty,876675d6-9413-4406-ac7c-92a9d798d5ee,d2abd4de-2de5-41f6-9f4e-bf6ef11221b5
20,Les Demoiselles d'Avignon,Les Demoiselles d'Avignon,empty,876675d6-9413-4406-ac7c-92a9d798d5ee,f5a220e8-1abc-4f44-99fe-87684bd3b777
21,Self-Portrait,Self-Portrait,empty,876675d6-9413-4406-ac7c-92a9d798d5ee,1613138f-6799-4ee2-9335-bcb4abcf09f6
22,Science and Charity,Science and Charity,empty,876675d6-9413-4406-ac7c-92a9d798d5ee,755548e2-a91d-408a-badf-39a38a89f299
